time="2022-03-01T20:06:14+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-03-01T20:06:14+08:00" level=info msg="RESTful API listening at: 127.0.0.1:44505"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-03-01T20:06:14+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-03-01T20:06:14+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-03-01T20:06:48+08:00" level=info msg="[TCP] 127.0.0.1:53230 --> onedrive.live.com:443 using GLOBAL"
time="2022-03-01T20:06:48+08:00" level=info msg="[TCP] 127.0.0.1:53232 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:06:50+08:00" level=info msg="[TCP] 127.0.0.1:53234 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T20:06:50+08:00" level=info msg="[TCP] 127.0.0.1:53236 --> clients2.google.com:443 using GLOBAL"
time="2022-03-01T20:06:51+08:00" level=info msg="[TCP] 127.0.0.1:53238 --> clients2.googleusercontent.com:443 using GLOBAL"
time="2022-03-01T20:06:52+08:00" level=info msg="[TCP] 127.0.0.1:53240 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:06:53+08:00" level=info msg="[TCP] 127.0.0.1:53242 --> www.gstatic.cn:443 using GLOBAL"
time="2022-03-01T20:06:58+08:00" level=info msg="[TCP] 127.0.0.1:53244 --> www.youtube.com:443 using GLOBAL"
time="2022-03-01T20:06:58+08:00" level=info msg="[TCP] 127.0.0.1:53246 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:07:02+08:00" level=info msg="[TCP] 127.0.0.1:53248 --> r2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:02+08:00" level=info msg="[TCP] 127.0.0.1:53250 --> r2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:05+08:00" level=info msg="[TCP] 127.0.0.1:53254 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:05+08:00" level=info msg="[TCP] 127.0.0.1:53252 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:13+08:00" level=info msg="[TCP] 127.0.0.1:53256 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-03-01T20:07:13+08:00" level=info msg="[TCP] 127.0.0.1:53258 --> www.google.com:443 using GLOBAL"
time="2022-03-01T20:07:23+08:00" level=info msg="[TCP] 127.0.0.1:53260 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:07:25+08:00" level=info msg="[TCP] 127.0.0.1:53262 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-01T20:07:33+08:00" level=info msg="[TCP] 127.0.0.1:53264 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:35+08:00" level=info msg="[TCP] 127.0.0.1:53266 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:07:40+08:00" level=info msg="[TCP] 127.0.0.1:53270 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-03-01T20:15:02+08:00" level=info msg="[TCP] 127.0.0.1:53272 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:17:02+08:00" level=info msg="[TCP] 127.0.0.1:53274 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:21:02+08:00" level=info msg="[TCP] 127.0.0.1:53276 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:21:49+08:00" level=info msg="[TCP] 127.0.0.1:53278 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T20:22:02+08:00" level=info msg="[TCP] 127.0.0.1:53280 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:22:21+08:00" level=info msg="[TCP] 127.0.0.1:53282 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-01T20:28:02+08:00" level=info msg="[TCP] 127.0.0.1:53286 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:29:02+08:00" level=info msg="[TCP] 127.0.0.1:53288 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:32:40+08:00" level=info msg="[TCP] 127.0.0.1:53290 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:32:57+08:00" level=info msg="[TCP] 127.0.0.1:53292 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:33:01+08:00" level=info msg="[TCP] 127.0.0.1:53294 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:33:02+08:00" level=info msg="[TCP] 127.0.0.1:53298 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:34:49+08:00" level=info msg="[TCP] 127.0.0.1:53300 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-01T20:35:02+08:00" level=info msg="[TCP] 127.0.0.1:53302 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:36:49+08:00" level=info msg="[TCP] 127.0.0.1:53304 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T20:38:02+08:00" level=info msg="[TCP] 127.0.0.1:53306 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:40:28+08:00" level=info msg="[TCP] 127.0.0.1:53308 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:40:41+08:00" level=info msg="[TCP] 127.0.0.1:53310 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:40:51+08:00" level=info msg="[TCP] 127.0.0.1:53312 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:41:02+08:00" level=info msg="[TCP] 127.0.0.1:53314 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:42:24+08:00" level=info msg="[TCP] 127.0.0.1:53316 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:42:45+08:00" level=info msg="[TCP] 127.0.0.1:53318 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:43:01+08:00" level=info msg="[TCP] 127.0.0.1:53320 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:43:02+08:00" level=info msg="[TCP] 127.0.0.1:53322 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:43:04+08:00" level=info msg="[TCP] 127.0.0.1:53324 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:43:19+08:00" level=info msg="[TCP] 127.0.0.1:53326 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:43:20+08:00" level=info msg="[TCP] 127.0.0.1:53328 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:44:17+08:00" level=info msg="[TCP] 127.0.0.1:53332 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:46:18+08:00" level=info msg="[TCP] 127.0.0.1:53334 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:46:18+08:00" level=info msg="[TCP] 127.0.0.1:53336 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-01T20:46:35+08:00" level=info msg="[TCP] 127.0.0.1:53340 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:46:52+08:00" level=info msg="[TCP] 127.0.0.1:53342 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:48:02+08:00" level=info msg="[TCP] 127.0.0.1:53346 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53348 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53352 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53354 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53356 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53358 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53360 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:17+08:00" level=info msg="[TCP] 127.0.0.1:53364 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:18+08:00" level=info msg="[TCP] 127.0.0.1:53362 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T20:48:23+08:00" level=info msg="[TCP] 127.0.0.1:53366 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:48:24+08:00" level=info msg="[TCP] 127.0.0.1:53370 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:48:25+08:00" level=info msg="[TCP] 127.0.0.1:53372 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:48:25+08:00" level=info msg="[TCP] 127.0.0.1:53374 --> r1---sn-8xgp1vo-p5qe.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:51:49+08:00" level=info msg="[TCP] 127.0.0.1:53376 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T20:52:32+08:00" level=info msg="[TCP] 127.0.0.1:53378 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:53:02+08:00" level=info msg="[TCP] 127.0.0.1:53382 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T20:53:13+08:00" level=info msg="[TCP] 127.0.0.1:53384 --> rr4---sn-un57en7e.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:53:19+08:00" level=info msg="[TCP] 127.0.0.1:53386 --> rr4---sn-un57en7e.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:53:34+08:00" level=info msg="[TCP] 127.0.0.1:53390 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:53:36+08:00" level=info msg="[TCP] 127.0.0.1:53388 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:53:36+08:00" level=info msg="[TCP] 127.0.0.1:53392 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:54:02+08:00" level=info msg="[TCP] 127.0.0.1:53396 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T20:57:28+08:00" level=info msg="[TCP] 127.0.0.1:53398 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-03-01T20:58:02+08:00" level=info msg="[TCP] 127.0.0.1:53400 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:00:36+08:00" level=info msg="[TCP] 127.0.0.1:53402 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-01T21:00:42+08:00" level=info msg="[TCP] 127.0.0.1:53404 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-01T21:00:50+08:00" level=info msg="[TCP] 127.0.0.1:53406 --> suggestqueries-clients6.youtube.com:443 using GLOBAL"
time="2022-03-01T21:03:55+08:00" level=info msg="[TCP] 127.0.0.1:53410 --> a.nel.cloudflare.com:443 using GLOBAL"
time="2022-03-01T21:04:02+08:00" level=info msg="[TCP] 127.0.0.1:53412 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:04:08+08:00" level=info msg="[TCP] 127.0.0.1:53414 --> www.duboku.tv:443 using GLOBAL"
time="2022-03-01T21:05:05+08:00" level=info msg="[TCP] 127.0.0.1:53416 --> a.nel.cloudflare.com:443 using GLOBAL"
time="2022-03-01T21:06:50+08:00" level=info msg="[TCP] 127.0.0.1:53418 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T21:09:02+08:00" level=info msg="[TCP] 127.0.0.1:53420 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:14:02+08:00" level=info msg="[TCP] 127.0.0.1:53422 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:17:02+08:00" level=info msg="[TCP] 127.0.0.1:53424 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T21:19:03+08:00" level=info msg="[TCP] 127.0.0.1:53426 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:21:49+08:00" level=info msg="[TCP] 127.0.0.1:53428 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T21:24:02+08:00" level=info msg="[TCP] 127.0.0.1:53430 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:26:02+08:00" level=info msg="[TCP] 127.0.0.1:53432 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T21:29:02+08:00" level=info msg="[TCP] 127.0.0.1:53434 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:34:02+08:00" level=info msg="[TCP] 127.0.0.1:53436 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:35:02+08:00" level=info msg="[TCP] 127.0.0.1:53438 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T21:36:50+08:00" level=info msg="[TCP] 127.0.0.1:53440 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T21:39:02+08:00" level=info msg="[TCP] 127.0.0.1:53444 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:44:02+08:00" level=info msg="[TCP] 127.0.0.1:53446 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:49:02+08:00" level=info msg="[TCP] 127.0.0.1:53448 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:51:49+08:00" level=info msg="[TCP] 127.0.0.1:53452 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T21:53:03+08:00" level=info msg="[TCP] 127.0.0.1:53454 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T21:54:02+08:00" level=info msg="[TCP] 127.0.0.1:53456 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T21:59:02+08:00" level=info msg="[TCP] 127.0.0.1:53458 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:00:02+08:00" level=info msg="[TCP] 127.0.0.1:53460 --> translate.google.cn:443 using GLOBAL"
time="2022-03-01T22:04:02+08:00" level=info msg="[TCP] 127.0.0.1:53462 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:06:49+08:00" level=info msg="[TCP] 127.0.0.1:53466 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T22:09:02+08:00" level=info msg="[TCP] 127.0.0.1:53468 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:15:02+08:00" level=info msg="[TCP] 127.0.0.1:53472 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:20:02+08:00" level=info msg="[TCP] 127.0.0.1:53474 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:21:49+08:00" level=info msg="[TCP] 127.0.0.1:53476 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T22:26:02+08:00" level=info msg="[TCP] 127.0.0.1:53478 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:31:02+08:00" level=info msg="[TCP] 127.0.0.1:53480 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:36:02+08:00" level=info msg="[TCP] 127.0.0.1:53482 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:36:49+08:00" level=info msg="[TCP] 127.0.0.1:53484 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T22:41:02+08:00" level=info msg="[TCP] 127.0.0.1:53486 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:46:02+08:00" level=info msg="[TCP] 127.0.0.1:53488 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:51:02+08:00" level=info msg="[TCP] 127.0.0.1:53490 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T22:51:49+08:00" level=info msg="[TCP] 127.0.0.1:53492 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T22:56:02+08:00" level=info msg="[TCP] 127.0.0.1:53494 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T23:01:02+08:00" level=info msg="[TCP] 127.0.0.1:53496 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T23:06:50+08:00" level=info msg="[TCP] 127.0.0.1:53498 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T23:07:02+08:00" level=info msg="[TCP] 127.0.0.1:53502 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T23:12:02+08:00" level=info msg="[TCP] 127.0.0.1:53504 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T23:17:02+08:00" level=info msg="[TCP] 127.0.0.1:53506 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-01T23:21:49+08:00" level=info msg="[TCP] 127.0.0.1:53508 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-01T23:22:02+08:00" level=info msg="[TCP] 127.0.0.1:53510 --> onenote.officeapps.live.com:443 using GLOBAL"
