time="2022-02-25T20:14:40+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-25T20:14:40+08:00" level=info msg="RESTful API listening at: 127.0.0.1:37381"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-02-25T20:14:41+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-02-25T20:14:41+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48076 --> ntp.msn.cn:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48078 --> onedrive.live.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48082 --> api.msn.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48096 --> c.msn.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48080 --> www.onenote.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48086 --> assets.msn.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48090 --> www.bing.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48094 --> img-s-msn-com.akamaized.net:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48092 --> sb.scorecardresearch.com:443 using GLOBAL"
time="2022-02-25T20:15:07+08:00" level=info msg="[TCP] 127.0.0.1:48088 --> c.bing.com:443 using GLOBAL"
