time="2022-02-27T08:07:33+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-27T08:07:33+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46321"
time="2022-02-27T09:07:19+08:00" level=info msg="[TCP] 127.0.0.1:34560 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:11:19+08:00" level=info msg="[TCP] 127.0.0.1:34562 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:13:19+08:00" level=info msg="[TCP] 127.0.0.1:34564 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T09:14:19+08:00" level=info msg="[TCP] 127.0.0.1:34566 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:14:57+08:00" level=info msg="[TCP] 127.0.0.1:34568 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-27T09:18:19+08:00" level=info msg="[TCP] 127.0.0.1:34570 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:18:20+08:00" level=info msg="[TCP] 127.0.0.1:34574 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:20:19+08:00" level=info msg="[TCP] 127.0.0.1:34576 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T09:21:19+08:00" level=info msg="[TCP] 127.0.0.1:34578 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:23:19+08:00" level=info msg="[TCP] 127.0.0.1:34580 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:25:19+08:00" level=info msg="[TCP] 127.0.0.1:34582 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:28:19+08:00" level=info msg="[TCP] 127.0.0.1:34586 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:28:20+08:00" level=info msg="[TCP] 127.0.0.1:34584 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:29:57+08:00" level=info msg="[TCP] 127.0.0.1:34588 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-27T09:32:23+08:00" level=info msg="[TCP] 127.0.0.1:34590 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:33:19+08:00" level=info msg="[TCP] 127.0.0.1:34594 --> translate.google.cn:443 using GLOBAL"
time="2022-02-27T09:35:21+08:00" level=info msg="[TCP] 127.0.0.1:34596 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34598 --> www.youtube.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34602 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34604 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34608 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34610 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34612 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:43+08:00" level=info msg="[TCP] 127.0.0.1:34606 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:44+08:00" level=info msg="[TCP] 127.0.0.1:34616 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:36:44+08:00" level=info msg="[TCP] 127.0.0.1:34618 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:36:44+08:00" level=info msg="[TCP] 127.0.0.1:34600 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-27T09:36:48+08:00" level=info msg="[TCP] 127.0.0.1:34620 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-02-27T09:37:00+08:00" level=info msg="[TCP] 127.0.0.1:34622 --> rr5---sn-o097znse.googlevideo.com:443 using GLOBAL"
time="2022-02-27T09:37:00+08:00" level=info msg="[TCP] 127.0.0.1:34624 --> rr5---sn-o097znse.googlevideo.com:443 using GLOBAL"
