time="2022-02-26T10:21:48+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-26T10:21:48+08:00" level=info msg="RESTful API listening at: 127.0.0.1:44781"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-02-26T10:21:49+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-02-26T10:21:49+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-02-26T10:22:16+08:00" level=info msg="[TCP] 127.0.0.1:36400 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-26T10:22:17+08:00" level=info msg="[TCP] 127.0.0.1:36402 --> clients2.google.com:443 using GLOBAL"
time="2022-02-26T10:22:18+08:00" level=info msg="[TCP] 127.0.0.1:36404 --> clients2.googleusercontent.com:443 using GLOBAL"
time="2022-02-26T10:23:21+08:00" level=info msg="[TCP] 127.0.0.1:36406 --> onedrive.live.com:443 using GLOBAL"
time="2022-02-26T10:23:22+08:00" level=info msg="[TCP] 127.0.0.1:36408 --> login.live.com:443 using GLOBAL"
time="2022-02-26T10:23:22+08:00" level=info msg="[TCP] 127.0.0.1:36410 --> login.live.com:443 using GLOBAL"
time="2022-02-26T10:23:25+08:00" level=info msg="[TCP] 127.0.0.1:36412 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-26T10:23:25+08:00" level=info msg="[TCP] 127.0.0.1:36414 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-26T10:23:25+08:00" level=info msg="[TCP] 127.0.0.1:36416 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-26T10:23:55+08:00" level=info msg="[TCP] 127.0.0.1:36418 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-26T10:27:01+08:00" level=info msg="[TCP] 127.0.0.1:36420 --> www.google.com:443 using GLOBAL"
