time="2022-02-28T20:21:51+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-28T20:21:51+08:00" level=info msg="RESTful API listening at: 127.0.0.1:36147"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-02-28T20:21:51+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-02-28T20:21:51+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-02-28T20:22:00+08:00" level=info msg="[TCP] 127.0.0.1:51012 --> translate.google.cn:443 using GLOBAL"
time="2022-02-28T20:22:00+08:00" level=info msg="[TCP] 127.0.0.1:51014 --> onedrive.live.com:443 using GLOBAL"
time="2022-02-28T20:22:02+08:00" level=info msg="[TCP] 127.0.0.1:51016 --> clients2.google.com:443 using GLOBAL"
time="2022-02-28T20:22:02+08:00" level=info msg="[TCP] 127.0.0.1:51018 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-28T20:22:03+08:00" level=info msg="[TCP] 127.0.0.1:51020 --> clients2.googleusercontent.com:443 using GLOBAL"
time="2022-02-28T20:22:05+08:00" level=info msg="[TCP] 127.0.0.1:51024 --> login.live.com:443 using GLOBAL"
time="2022-02-28T20:22:05+08:00" level=info msg="[TCP] 127.0.0.1:51022 --> login.live.com:443 using GLOBAL"
time="2022-02-28T20:22:06+08:00" level=info msg="[TCP] 127.0.0.1:51026 --> apis.google.com:443 using GLOBAL"
time="2022-02-28T20:22:07+08:00" level=info msg="[TCP] 127.0.0.1:51028 --> www.gstatic.cn:443 using GLOBAL"
time="2022-02-28T20:22:10+08:00" level=info msg="[TCP] 127.0.0.1:51030 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:22:10+08:00" level=info msg="[TCP] 127.0.0.1:51034 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:22:10+08:00" level=info msg="[TCP] 127.0.0.1:51032 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:22:42+08:00" level=info msg="[TCP] 127.0.0.1:51036 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:22:45+08:00" level=info msg="[TCP] 127.0.0.1:51038 --> www.youtube.com:443 using GLOBAL"
time="2022-02-28T20:22:46+08:00" level=info msg="[TCP] 127.0.0.1:51040 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51042 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51048 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51052 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51046 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51044 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:49+08:00" level=info msg="[TCP] 127.0.0.1:51050 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:22:50+08:00" level=info msg="[TCP] 127.0.0.1:51054 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-02-28T20:22:50+08:00" level=info msg="[TCP] 127.0.0.1:51056 --> rr1---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:22:50+08:00" level=info msg="[TCP] 127.0.0.1:51058 --> rr1---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:22:50+08:00" level=info msg="[TCP] 127.0.0.1:51060 --> www.google.com:443 using GLOBAL"
time="2022-02-28T20:22:51+08:00" level=info msg="[TCP] 127.0.0.1:51062 --> rr1---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:22:51+08:00" level=info msg="[TCP] 127.0.0.1:51064 --> rr1---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:01+08:00" level=info msg="[TCP] 127.0.0.1:51068 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:03+08:00" level=info msg="[TCP] 127.0.0.1:51070 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:03+08:00" level=info msg="[TCP] 127.0.0.1:51072 --> rr4---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:03+08:00" level=info msg="[TCP] 127.0.0.1:51074 --> r1---sn-8xgp1vo-2iay.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:03+08:00" level=info msg="[TCP] 127.0.0.1:51076 --> rr4---sn-un57sn76.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:03+08:00" level=info msg="[TCP] 127.0.0.1:51078 --> rr4---sn-un57sn76.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:48+08:00" level=info msg="[TCP] 127.0.0.1:51080 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:50+08:00" level=info msg="[TCP] 127.0.0.1:51084 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:23:50+08:00" level=info msg="[TCP] 127.0.0.1:51082 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:27:14+08:00" level=info msg="[TCP] 127.0.0.1:51086 --> rr2---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:27:53+08:00" level=info msg="[TCP] 127.0.0.1:51088 --> a.nel.cloudflare.com:443 using GLOBAL"
time="2022-02-28T20:30:40+08:00" level=info msg="[TCP] 127.0.0.1:51090 --> translate.google.cn:443 using GLOBAL"
time="2022-02-28T20:32:40+08:00" level=info msg="[TCP] 127.0.0.1:51092 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:37:01+08:00" level=info msg="[TCP] 127.0.0.1:51094 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-28T20:37:40+08:00" level=info msg="[TCP] 127.0.0.1:51096 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:41:40+08:00" level=info msg="[TCP] 127.0.0.1:51098 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:45:40+08:00" level=info msg="[TCP] 127.0.0.1:51100 --> translate.google.cn:443 using GLOBAL"
time="2022-02-28T20:48:40+08:00" level=info msg="[TCP] 127.0.0.1:51102 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:51:56+08:00" level=info msg="[TCP] 127.0.0.1:51104 --> www.youtube.com:443 using GLOBAL"
time="2022-02-28T20:51:56+08:00" level=info msg="[TCP] 127.0.0.1:51106 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-28T20:52:00+08:00" level=info msg="[TCP] 127.0.0.1:51108 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-02-28T20:52:01+08:00" level=info msg="[TCP] 127.0.0.1:51110 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-28T20:52:05+08:00" level=info msg="[TCP] 127.0.0.1:51112 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:52:06+08:00" level=info msg="[TCP] 127.0.0.1:51114 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:52:06+08:00" level=info msg="[TCP] 127.0.0.1:51116 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:52:08+08:00" level=info msg="[TCP] 127.0.0.1:51118 --> rr7---sn-ipoxu-umb6.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:52:10+08:00" level=info msg="[TCP] 127.0.0.1:51120 --> rr1---sn-ipoxu-umb6.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:52:10+08:00" level=info msg="[TCP] 127.0.0.1:51122 --> rr1---sn-ipoxu-umb6.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:52:19+08:00" level=info msg="[TCP] 127.0.0.1:51124 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-28T20:54:15+08:00" level=info msg="[TCP] 127.0.0.1:51126 --> rr2---sn-un57sn7y.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:54:40+08:00" level=info msg="[TCP] 127.0.0.1:51128 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T20:54:44+08:00" level=info msg="[TCP] 127.0.0.1:51130 --> rr2---sn-un57sn7y.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:54:49+08:00" level=info msg="[TCP] 127.0.0.1:51132 --> rr1---sn-ipoxu-umb6.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:57:27+08:00" level=info msg="[TCP] 127.0.0.1:51134 --> i.ytimg.com:443 using GLOBAL"
time="2022-02-28T20:57:39+08:00" level=info msg="[TCP] 127.0.0.1:51136 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:57:43+08:00" level=info msg="[TCP] 127.0.0.1:51138 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:57:43+08:00" level=info msg="[TCP] 127.0.0.1:51140 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:57:43+08:00" level=info msg="[TCP] 127.0.0.1:51142 --> r3---sn-8xgp1vo-2pue.googlevideo.com:443 using GLOBAL"
time="2022-02-28T20:59:40+08:00" level=info msg="[TCP] 127.0.0.1:51144 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T21:00:40+08:00" level=info msg="[TCP] 127.0.0.1:51146 --> translate.google.cn:443 using GLOBAL"
time="2022-02-28T21:04:40+08:00" level=info msg="[TCP] 127.0.0.1:51148 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T21:06:00+08:00" level=info msg="[TCP] 127.0.0.1:51150 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:06:14+08:00" level=info msg="[TCP] 127.0.0.1:51152 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:06:14+08:00" level=info msg="[TCP] 127.0.0.1:51154 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:07:01+08:00" level=info msg="[TCP] 127.0.0.1:51156 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-02-28T21:07:02+08:00" level=info msg="[TCP] 127.0.0.1:51158 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:07:12+08:00" level=warning msg="[TCP] dial GLOBAL to rr3---sn-ipoxu-umbr.googlevideo.com:443 error: 117.28.243.164:8007 connect error: dial tcp4 117.28.243.164:8007: i/o timeout"
time="2022-02-28T21:07:12+08:00" level=info msg="[TCP] 127.0.0.1:51162 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:07:28+08:00" level=info msg="[TCP] 127.0.0.1:51164 --> www.youtube.com:443 using GLOBAL"
time="2022-02-28T21:08:40+08:00" level=info msg="[TCP] 127.0.0.1:51168 --> translate.google.cn:443 using GLOBAL"
time="2022-02-28T21:08:41+08:00" level=warning msg="[TCP] dial GLOBAL to rr3---sn-ipoxu-umbr.googlevideo.com:443 error: 117.28.243.164:8007 connect error: dial tcp4 117.28.243.164:8007: i/o timeout"
time="2022-02-28T21:08:41+08:00" level=info msg="[TCP] 127.0.0.1:51170 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:09:41+08:00" level=info msg="[TCP] 127.0.0.1:51172 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T21:09:51+08:00" level=info msg="[TCP] 127.0.0.1:51174 --> rr3---sn-un57enel.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:10:13+08:00" level=info msg="[TCP] 127.0.0.1:51176 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:14:40+08:00" level=info msg="[TCP] 127.0.0.1:51178 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-02-28T21:17:27+08:00" level=info msg="[TCP] 127.0.0.1:51180 --> rr3---sn-ipoxu-umbr.googlevideo.com:443 using GLOBAL"
time="2022-02-28T21:17:40+08:00" level=info msg="[TCP] 127.0.0.1:51182 --> translate.google.cn:443 using GLOBAL"
