time="2022-03-02T21:08:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-03-02T21:08:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46429"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-03-02T21:08:30+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-03-02T21:08:30+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-03-02T21:09:44+08:00" level=info msg="[TCP] 127.0.0.1:53384 --> translate.google.cn:443 using GLOBAL"
time="2022-03-02T21:09:44+08:00" level=info msg="[TCP] 127.0.0.1:53382 --> onedrive.live.com:443 using GLOBAL"
time="2022-03-02T21:09:46+08:00" level=info msg="[TCP] 127.0.0.1:53386 --> raw.githubusercontent.com:443 using GLOBAL"
time="2022-03-02T21:09:47+08:00" level=info msg="[TCP] 127.0.0.1:53388 --> clients2.google.com:443 using GLOBAL"
time="2022-03-02T21:09:48+08:00" level=info msg="[TCP] 127.0.0.1:53390 --> clients2.googleusercontent.com:443 using GLOBAL"
time="2022-03-02T21:09:48+08:00" level=info msg="[TCP] 127.0.0.1:53392 --> www.youtube.com:443 using GLOBAL"
time="2022-03-02T21:09:49+08:00" level=info msg="[TCP] 127.0.0.1:53394 --> www.gstatic.cn:443 using GLOBAL"
time="2022-03-02T21:09:49+08:00" level=info msg="[TCP] 127.0.0.1:53396 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-02T21:09:53+08:00" level=info msg="[TCP] 127.0.0.1:53398 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-02T21:09:54+08:00" level=info msg="[TCP] 127.0.0.1:53402 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-02T21:09:54+08:00" level=info msg="[TCP] 127.0.0.1:53400 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-02T21:09:55+08:00" level=info msg="[TCP] 127.0.0.1:53404 --> jnn-pa.googleapis.com:443 using GLOBAL"
time="2022-03-02T21:09:56+08:00" level=info msg="[TCP] 127.0.0.1:53406 --> rr6---sn-3pm76n7r.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:09:56+08:00" level=info msg="[TCP] 127.0.0.1:53408 --> rr6---sn-3pm76n7r.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:10:22+08:00" level=info msg="[TCP] 127.0.0.1:53410 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53412 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53420 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53416 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53414 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53418 --> yt3.ggpht.com:443 using GLOBAL"
time="2022-03-02T21:10:23+08:00" level=info msg="[TCP] 127.0.0.1:53422 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-02T21:10:31+08:00" level=info msg="[TCP] 127.0.0.1:53424 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:10:32+08:00" level=info msg="[TCP] 127.0.0.1:53428 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:10:32+08:00" level=info msg="[TCP] 127.0.0.1:53426 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:10:32+08:00" level=info msg="[TCP] 127.0.0.1:53430 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:10:33+08:00" level=info msg="[TCP] 127.0.0.1:53432 --> www.google.com:443 using GLOBAL"
time="2022-03-02T21:12:05+08:00" level=info msg="[TCP] 127.0.0.1:53434 --> www.felixcloutier.com:443 using GLOBAL"
time="2022-03-02T21:12:07+08:00" level=info msg="[TCP] 127.0.0.1:53436 --> www.felixcloutier.com:443 using GLOBAL"
time="2022-03-02T21:13:30+08:00" level=info msg="[TCP] 127.0.0.1:53438 --> www.felixcloutier.com:443 using GLOBAL"
time="2022-03-02T21:13:34+08:00" level=info msg="[TCP] 127.0.0.1:53440 --> www.felixcloutier.com:443 using GLOBAL"
time="2022-03-02T21:20:22+08:00" level=info msg="[TCP] 127.0.0.1:53442 --> onenote.officeapps.live.com:443 using GLOBAL"
time="2022-03-02T21:21:23+08:00" level=info msg="[TCP] 127.0.0.1:53444 --> translate.google.cn:443 using GLOBAL"
time="2022-03-02T21:21:23+08:00" level=info msg="[TCP] 127.0.0.1:53446 --> i.ytimg.com:443 using GLOBAL"
time="2022-03-02T21:22:05+08:00" level=info msg="[TCP] 127.0.0.1:53448 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:23:40+08:00" level=info msg="[TCP] 127.0.0.1:53450 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
time="2022-03-02T21:24:41+08:00" level=info msg="[TCP] 127.0.0.1:53452 --> rr2---sn-3pm7dn7s.googlevideo.com:443 using GLOBAL"
