time="2022-03-03T19:49:50+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-03-03T19:49:50+08:00" level=info msg="RESTful API listening at: 127.0.0.1:32799"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🚫 运营劫持"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider ⛔️ 广告拦截"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🎥 NETFLIX"
time="2022-03-03T19:49:51+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2022-03-03T19:49:51+08:00" level=error msg="Start Tun interface error: operation not permitted"
time="2022-03-03T19:58:04+08:00" level=info msg="[TCP] 127.0.0.1:45908 --> edge.microsoft.com:443 using GLOBAL"
time="2022-03-03T19:58:04+08:00" level=info msg="[TCP] 127.0.0.1:45906 --> edge.microsoft.com:443 using GLOBAL"
time="2022-03-03T19:58:04+08:00" level=info msg="[TCP] 127.0.0.1:45904 --> ntp.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:04+08:00" level=info msg="[TCP] 127.0.0.1:45910 --> config.edge.skype.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45914 --> edgeassetservice.azureedge.net:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45918 --> edgeassetservice.azureedge.net:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45926 --> c.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45934 --> sb.scorecardresearch.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45924 --> assets.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45920 --> api.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45922 --> assets.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45930 --> img-s-msn-com.akamaized.net:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45928 --> c.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:06+08:00" level=info msg="[TCP] 127.0.0.1:45932 --> www.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:07+08:00" level=info msg="[TCP] 127.0.0.1:45936 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:07+08:00" level=info msg="[TCP] 127.0.0.1:45938 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:07+08:00" level=info msg="[TCP] 127.0.0.1:45940 --> assets.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:07+08:00" level=info msg="[TCP] 127.0.0.1:45942 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:08+08:00" level=info msg="[TCP] 127.0.0.1:45944 --> assets.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:09+08:00" level=info msg="[TCP] 127.0.0.1:45946 --> edge.microsoft.com:443 using GLOBAL"
time="2022-03-03T19:58:10+08:00" level=info msg="[TCP] 127.0.0.1:45948 --> login.microsoftonline.com:443 using GLOBAL"
time="2022-03-03T19:58:11+08:00" level=info msg="[TCP] 127.0.0.1:45950 --> srtb.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:11+08:00" level=info msg="[TCP] 127.0.0.1:45952 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:11+08:00" level=info msg="[TCP] 127.0.0.1:45956 --> th.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:11+08:00" level=info msg="[TCP] 127.0.0.1:45954 --> th.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:12+08:00" level=info msg="[TCP] 127.0.0.1:45958 --> ecn.dev.ditu.live.com:443 using GLOBAL"
time="2022-03-03T19:58:12+08:00" level=info msg="[TCP] 127.0.0.1:45960 --> login.live.com:443 using GLOBAL"
time="2022-03-03T19:58:13+08:00" level=info msg="[TCP] 127.0.0.1:45962 --> srtb.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45964 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45970 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45968 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45966 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45972 --> ts2.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45974 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45976 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45982 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:14+08:00" level=info msg="[TCP] 127.0.0.1:45980 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:15+08:00" level=info msg="[TCP] 127.0.0.1:45984 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:15+08:00" level=info msg="[TCP] 127.0.0.1:45986 --> ts1.cn.mm.bing.net:443 using GLOBAL"
time="2022-03-03T19:58:18+08:00" level=info msg="[TCP] 127.0.0.1:45990 --> assets.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:18+08:00" level=info msg="[TCP] 127.0.0.1:45988 --> api.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:27+08:00" level=info msg="[TCP] 127.0.0.1:45992 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46012 --> sb.scorecardresearch.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46008 --> c.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46004 --> assets.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46014 --> img-s-msn-com.akamaized.net:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46000 --> config.edge.skype.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:45996 --> ntp.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46002 --> api.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:45994 --> ntp.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:45998 --> www.bing.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46010 --> c.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46006 --> assets.msn.com:443 using GLOBAL"
time="2022-03-03T19:58:34+08:00" level=info msg="[TCP] 127.0.0.1:46016 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:35+08:00" level=info msg="[TCP] 127.0.0.1:46018 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:35+08:00" level=info msg="[TCP] 127.0.0.1:46022 --> browser.events.data.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:35+08:00" level=info msg="[TCP] 127.0.0.1:46020 --> assets.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:38+08:00" level=info msg="[TCP] 127.0.0.1:46028 --> www.microsoftedgeinsider.com:443 using GLOBAL"
time="2022-03-03T19:58:38+08:00" level=info msg="[TCP] 127.0.0.1:46026 --> www.microsoftedgeinsider.com:443 using GLOBAL"
time="2022-03-03T19:58:38+08:00" level=info msg="[TCP] 127.0.0.1:46030 --> deff.nelreports.net:443 using GLOBAL"
time="2022-03-03T19:58:40+08:00" level=info msg="[TCP] 127.0.0.1:46032 --> www.clarity.ms:443 using GLOBAL"
time="2022-03-03T19:58:41+08:00" level=warning msg="[TCP] dial GLOBAL to assets.msn.cn:443 error: os2-7.sstr-api.xyz:443 connect error: dial tcp4 45.142.165.27:443: i/o timeout"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46034 --> assets.msn.cn:443 using GLOBAL"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46036 --> img.youtube.com:443 using GLOBAL"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46038 --> img.youtube.com:443 using GLOBAL"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46040 --> img.youtube.com:443 using GLOBAL"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46044 --> img.youtube.com:443 using GLOBAL"
time="2022-03-03T19:58:42+08:00" level=info msg="[TCP] 127.0.0.1:46046 --> browser.events.data.microsoft.com:443 using GLOBAL"
time="2022-03-03T19:58:43+08:00" level=info msg="[TCP] 127.0.0.1:46048 --> browser.pipe.aria.microsoft.com:443 using GLOBAL"
time="2022-03-03T19:58:44+08:00" level=info msg="[TCP] 127.0.0.1:46050 --> a.clarity.ms:443 using GLOBAL"
time="2022-03-03T19:58:44+08:00" level=info msg="[TCP] 127.0.0.1:46052 --> odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46060 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46058 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46054 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46056 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46062 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:46+08:00" level=info msg="[TCP] 127.0.0.1:46064 --> cdn.odc.officeapps.live.com:443 using GLOBAL"
time="2022-03-03T19:58:48+08:00" level=info msg="[TCP] 127.0.0.1:46068 --> dc.services.visualstudio.com:443 using GLOBAL"
